[Tue, 24 Jan 2023 19:11:22 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:11:47 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:11:51 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:11:53 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:12:08 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:12:14 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:12:18 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:12:36 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:12:39 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:13:37 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:13:42 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:14:06 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:14:17 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:14:22 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:15:22 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:17:21 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:17:57 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:18:20 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:20:14 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:20:34 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:20:52 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:21:05 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Tue, 24 Jan 2023 19:22:36 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 201 	 http://localhost:5173
[Wed, 25 Jan 2023 14:15:22 GMT] 	 ::1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 409 	 http://localhost:5173
[Wed, 25 Jan 2023 14:15:39 GMT] 	 ::1 	 POST 	 /api/v1/registe 	 HTTP/1.1 	 404 	 http://localhost:5173
[Wed, 25 Jan 2023 14:44:00 GMT] 	 ::1 	 POST 	 /api/v1/login 	 HTTP/1.1 	 404 	 http://localhost:5173
[Wed, 25 Jan 2023 14:45:22 GMT] 	 ::1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 400 	 http://localhost:5173
[Wed, 25 Jan 2023 14:48:47 GMT] 	 ::1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 400 	 http://localhost:5173
[Wed, 25 Jan 2023 14:52:12 GMT] 	 ::1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 400 	 http://localhost:5173
[Wed, 25 Jan 2023 14:52:40 GMT] 	 ::1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 400 	 http://localhost:5173
